,instruction,output
0,User asked: 'I am still waiting on my card?',I'm here to help with that.
1,User asked: 'What can I do if my card still hasn't arrived after 2 weeks?',I'm here to help with that.
2,User asked: 'I have been waiting over a week. Is the card still coming?',I'm here to help with that.
3,User asked: 'Can I track my card while it is in the process of delivery?',I'm here to help with that.
4,"User asked: 'How do I know if I will get my card, or if it is lost?'",I'm here to help with that.
5,User asked: 'When did you send me my new card?',I'm here to help with that.
6,User asked: 'Do you have info about the card on delivery?',I'm here to help with that.
7,User asked: 'What do I do if I still have not received my new card?',I'm here to help with that.
8,User asked: 'Does the package with my card have tracking?',I'm here to help with that.
9,User asked: 'I ordered my card but it still isn't here',I'm here to help with that.
10,User asked: 'Why has my new card still not come?',I'm here to help with that.
11,"User asked: 'I still haven't received my card after two weeks, is it lost?'",I'm here to help with that.
12,User asked: 'Can you track my card for me?',I'm here to help with that.
13,User asked: 'Is there a way to track the delivery of my card?',I'm here to help with that.
14,User asked: 'It's been a week since I ordered my card and it's not here. Please help?',I'm here to help with that.
15,User asked: 'Will I be able to track the card that was sent to me?',I'm here to help with that.
16,User asked: 'I don't have my card in 1 week.  Should I be worried?',I'm here to help with that.
17,User asked: 'How do I know when my new card is going to arrive?',I'm here to help with that.
18,User asked: 'My new card has not been delivered to my home yet. What is going on?',I'm here to help with that.
19,User asked: 'It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?',I'm here to help with that.
20,"User asked: 'On the card that is coming, what's the tracking info?'",I'm here to help with that.
21,User asked: 'What is the status of my card's delivery?',I'm here to help with that.
22,User asked: 'Have you sent out my card yet?',I'm here to help with that.
23,User asked: 'My card isn't here yet.',I'm here to help with that.
24,User asked: 'where is my new card?',I'm here to help with that.
25,User asked: 'It's been a week since you sent my card and I still don't have it.',I'm here to help with that.
26,User asked: 'How do I track the card you sent me?',I'm here to help with that.
27,User asked: 'When will I recieve my new card?',I'm here to help with that.
28,User asked: 'When will I get my new card?',I'm here to help with that.
29,User asked: 'What is the expected delivery date for my card?',I'm here to help with that.
30,User asked: 'Is there a tracking number for the card you sent me?',I'm here to help with that.
31,User asked: 'I would like to track the card you sent to me.',I'm here to help with that.
32,User asked: 'Has my card been lost in delivery?',I'm here to help with that.
33,User asked: 'My new card hasn't came in.',I'm here to help with that.
34,User asked: 'Where is the card I ordered 2 weeks ago?',I'm here to help with that.
35,User asked: 'Can I get an update on my replacement card?',I'm here to help with that.
36,User asked: 'How long does it take for a new card to ship?',I'm here to help with that.
37,User asked: 'What's the tracking on the card you sent?',I'm here to help with that.
38,User asked: 'I haven't received my card and am worried it is lost.',I'm here to help with that.
39,User asked: 'My card still hasn't been delivered',I'm here to help with that.
40,User asked: 'I need to find out where the card is that I ordered.',I'm here to help with that.
41,User asked: 'Where is my credit card that was to be mailed?',I'm here to help with that.
42,User asked: 'I ordered my card but it hasn't been delivered yet',I'm here to help with that.
43,User asked: 'Am I able to track the card that was just sent to me?',I'm here to help with that.
44,User asked: 'Can you tell me why I haven't received my new card?',I'm here to help with that.
45,User asked: 'I'm still waiting for my new card.',I'm here to help with that.
46,User asked: 'Is my card lost? I am still waiting for it to be delivered.',I'm here to help with that.
47,User asked: 'Should I keep waiting for my card to be delivered?',I'm here to help with that.
48,User asked: 'Can I track when my card will be delivered?',I'm here to help with that.
49,User asked: 'How can I check on the status of my new card?',I'm here to help with that.
50,"User asked: 'A card has been sent to me, how do I track it?'",I'm here to help with that.
51,User asked: 'Is there a way I can get my card expedited?',I'm here to help with that.
52,User asked: 'What can I do to track the card you sent me?',I'm here to help with that.
53,User asked: 'why hasnt my card come in yet?',I'm here to help with that.
54,User asked: 'How can I periodically check the delivery of the card you sent?',I'm here to help with that.
55,User asked: 'What's the reason my new card hasn't come?',I'm here to help with that.
56,User asked: 'How long does it take for me to get my new card?',I'm here to help with that.
57,User asked: 'I don't have my card after 1 week. What are my next steps?',I'm here to help with that.
58,User asked: 'I know I'm getting a new card but would like know when I can expect to receive it.',I'm here to help with that.
59,User asked: 'I want to find out what happened to my new card?',I'm here to help with that.
60,User asked: 'Was there a way for me to get tracking for that?',I'm here to help with that.
61,User asked: 'I am still waiting for my card.',I'm here to help with that.
62,User asked: 'My card hasn't arrived.',I'm here to help with that.
63,User asked: 'Can I track the card you sent to me?',I'm here to help with that.
64,User asked: 'I haven't gotten my new card.',I'm here to help with that.
65,User asked: 'How long should it take for my new card to arrive in them mail? What should I do if I never receive it?',I'm here to help with that.
66,User asked: 'Will I have to wait much longer for my new card to arrive?',I'm here to help with that.
67,User asked: 'how to track the card you sent',I'm here to help with that.
68,User asked: '2 weeks ago I ordered my new card.  It isn't here.  What should I do?',I'm here to help with that.
69,User asked: 'How can I check on the delivery status of my card?',I'm here to help with that.
70,"User asked: 'My card has not been delivered yet and its been a week since I ordered it, please help'",I'm here to help with that.
71,User asked: 'What's the expected wait time to recieve my new card?',I'm here to help with that.
72,User asked: 'How can I see the progress of delivery of the card that was sent?',I'm here to help with that.
73,"User asked: 'My card was supposed to arrive, but hasn't?'",I'm here to help with that.
74,User asked: 'I ordered a card and would like to know how to track the delivery progress of it.',I'm here to help with that.
75,User asked: 'How long will it take for me to get my card?',I'm here to help with that.
76,User asked: 'My card hasn't shown up yet.',I'm here to help with that.
77,User asked: 'Does the card you sent have a tracking number?',I'm here to help with that.
78,User asked: 'My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?',I'm here to help with that.
79,User asked: 'maximum how many days get the courier?',I'm here to help with that.
80,User asked: 'Is there a reason my new card hasn't arrived yet?',I'm here to help with that.
81,"User asked: 'I've been waiting a while for my card, is there a way to know when it will arrive?'",I'm here to help with that.
82,User asked: 'How can I track my card's delivery?',I'm here to help with that.
83,User asked: 'Can I track the card that was just sent to me?',I'm here to help with that.
84,"User asked: 'If I ordered my new card last week, how much longer should I wait to receive it?'",I'm here to help with that.
85,"User asked: 'What's go on, where is my new card?'",I'm here to help with that.
86,User asked: 'Where is my new card if I haven't received it yet?',I'm here to help with that.
87,User asked: 'Where is my card?',I'm here to help with that.
88,User asked: 'Can you tell me why I haven't received my new card yet?',I'm here to help with that.
89,User asked: 'Is there a way to track my card?',I'm here to help with that.
90,User asked: 'Is there a way to track the new card you sent me?',I'm here to help with that.
91,User asked: 'I'm still waiting for my card.',I'm here to help with that.
92,User asked: 'What do I need to do to get my new card which I have requested 2 weeks ago?',I'm here to help with that.
93,User asked: 'WHAT IS THE SOLUTION OF THIS PROBLEM',I'm here to help with that.
94,User asked: 'Could I get tracking on the card?',I'm here to help with that.
95,User asked: 'Can you help me track my card?',I'm here to help with that.
96,User asked: 'Shouldn't my new card be here by now?',I'm here to help with that.
97,User asked: 'Is there a reason my new card hasn't arrived?',I'm here to help with that.
98,"User asked: 'I would like to track a card sent to me, how do I do that?'",I'm here to help with that.
99,User asked: 'Is there a tracking number for the card?',I'm here to help with that.
100,User asked: 'can you share card tracking number?',I'm here to help with that.
101,"User asked: 'I have not received my card and it's been a week, what do I do?'",I'm here to help with that.
102,User asked: 'Is there a way I can check on the card on route to me?',I'm here to help with that.
103,User asked: 'When will my new card arrive?',I'm here to help with that.
104,User asked: 'Why haven't I received my new card yet?',I'm here to help with that.
105,User asked: 'What is the expected delivery date of my card?',I'm here to help with that.
106,User asked: 'My card hasn't came in the mail yet?',I'm here to help with that.
107,User asked: 'I haven't received my card.',I'm here to help with that.
108,User asked: 'Is it possible for me to track the card is was mailed to me?',I'm here to help with that.
109,User asked: 'When will my new card be delivered?',I'm here to help with that.
110,User asked: 'I was issued a card about a week ago. why hasn't it come in yet?',I'm here to help with that.
111,User asked: 'Can you please tell me where my card is? I ordered it 2 weeks ago!',I'm here to help with that.
112,User asked: 'I still haven't received my card in the mail',I'm here to help with that.
113,User asked: 'I'm still waiting for my card that was issued a week ago. What should I do?',I'm here to help with that.
114,User asked: 'I still haven't gotten my new card.  When will it get here?',I'm here to help with that.
115,User asked: 'Do you have a tracking number for the card I was sent?',I'm here to help with that.
116,User asked: 'How do I track the card you sent to me?',I'm here to help with that.
117,User asked: 'Is my new bank card on the way and is there a way to track it?',I'm here to help with that.
118,User asked: 'Could you send me and up date on the arrival of my card?',I'm here to help with that.
119,User asked: 'How long does it take to recieve my new card?',I'm here to help with that.
120,User asked: 'My card has not come in the mail yet.',I'm here to help with that.
121,User asked: 'What's the card you sent me's tracking number?',I'm here to help with that.
122,User asked: 'i havent got my card',I'm here to help with that.
123,User asked: 'Why hasn't my card arrived yet?',I'm here to help with that.
